Date,CompanyName,Ticker,Price,TotalReturn,PriceReturn
23/06/2008,Microsoft,MSFT,27.97,-0.00921,-0.00921
24/06/2008,Microsoft,MSFT,27.73,-0.008581,-0.008581
25/06/2008,Microsoft,MSFT,28.35,0.022358,0.022358
26/06/2008,Microsoft,MSFT,27.75,-0.021164,-0.021164
27/06/2008,Microsoft,MSFT,27.63,-0.004324,-0.004324
30/06/2008,Microsoft,MSFT,27.51,-0.004343,-0.004343
01/07/2008,Microsoft,MSFT,26.87,-0.023264,-0.023264
02/07/2008,Microsoft,MSFT,25.88,-0.036844,-0.036844
03/07/2008,Microsoft,MSFT,25.98,0.003864,0.003864
07/07/2008,Microsoft,MSFT,26.03,0.001925,0.001925
08/07/2008,Microsoft,MSFT,25.85,-0.006915,-0.006915
09/07/2008,Microsoft,MSFT,25.23,-0.023985,-0.023985
10/07/2008,Microsoft,MSFT,25.45,0.00872,0.00872
11/07/2008,Microsoft,MSFT,25.25,-0.007859,-0.007859
14/07/2008,Microsoft,MSFT,25.15,-0.00396,-0.00396
15/07/2008,Microsoft,MSFT,26.15,0.039761,0.039761
16/07/2008,Microsoft,MSFT,27.26,0.042447,0.042447
17/07/2008,Microsoft,MSFT,27.52,0.009538,0.009538
18/07/2008,Microsoft,MSFT,25.86,-0.06032,-0.06032
21/07/2008,Microsoft,MSFT,25.64,-0.008507,-0.008507
22/07/2008,Microsoft,MSFT,25.8,0.00624,0.00624
23/07/2008,Microsoft,MSFT,26.43,0.024419,0.024419
24/07/2008,Microsoft,MSFT,25.44,-0.037457,-0.037457
25/07/2008,Microsoft,MSFT,26.16,0.028302,0.028302
28/07/2008,Microsoft,MSFT,25.5,-0.025229,-0.025229
29/07/2008,Microsoft,MSFT,26.11,0.023922,0.023922
30/07/2008,Microsoft,MSFT,26.23,0.004596,0.004596
31/07/2008,Microsoft,MSFT,25.72,-0.019443,-0.019443
01/08/2008,Microsoft,MSFT,25.44,-0.010886,-0.010886
04/08/2008,Microsoft,MSFT,25.28,-0.006289,-0.006289
05/08/2008,Microsoft,MSFT,26.21,0.036788,0.036788
06/08/2008,Microsoft,MSFT,27.02,0.030904,0.030904
07/08/2008,Microsoft,MSFT,27.39,0.013694,0.013694
08/08/2008,Microsoft,MSFT,28.13,0.027017,0.027017
11/08/2008,Microsoft,MSFT,27.9,-0.008176,-0.008176
12/08/2008,Microsoft,MSFT,28.12,0.007885,0.007885
13/08/2008,Microsoft,MSFT,27.91,-0.007468,-0.007468
14/08/2008,Microsoft,MSFT,27.91,0,0
15/08/2008,Microsoft,MSFT,27.81,-0.003583,-0.003583
18/08/2008,Microsoft,MSFT,27.69,-0.004315,-0.004315
19/08/2008,Microsoft,MSFT,27.32,-0.00939,-0.013362
20/08/2008,Microsoft,MSFT,27.29,-0.001098,-0.001098
21/08/2008,Microsoft,MSFT,27.18,-0.004031,-0.004031
22/08/2008,Microsoft,MSFT,27.84,0.024283,0.024283
25/08/2008,Microsoft,MSFT,27.66,-0.006466,-0.006466
26/08/2008,Microsoft,MSFT,27.27,-0.0141,-0.0141
27/08/2008,Microsoft,MSFT,27.56,0.010634,0.010634
28/08/2008,Microsoft,MSFT,27.94,0.013788,0.013788
29/08/2008,Microsoft,MSFT,27.29,-0.023264,-0.023264
02/09/2008,Microsoft,MSFT,27.1,-0.006962,-0.006962
03/09/2008,Microsoft,MSFT,26.9,-0.00738,-0.00738
04/09/2008,Microsoft,MSFT,26.35,-0.020446,-0.020446
05/09/2008,Microsoft,MSFT,25.65,-0.026565,-0.026565
08/09/2008,Microsoft,MSFT,26.12,0.018324,0.018324
09/09/2008,Microsoft,MSFT,26.1,-0.000766,-0.000766
10/09/2008,Microsoft,MSFT,26.44,0.013027,0.013027
11/09/2008,Microsoft,MSFT,27.34,0.034039,0.034039
12/09/2008,Microsoft,MSFT,27.62,0.010241,0.010241
15/09/2008,Microsoft,MSFT,26.82,-0.028965,-0.028965
16/09/2008,Microsoft,MSFT,25.99,-0.030947,-0.030947
17/09/2008,Microsoft,MSFT,24.57,-0.054636,-0.054636
18/09/2008,Microsoft,MSFT,25.26,0.028083,0.028083
19/09/2008,Microsoft,MSFT,25.16,-0.003959,-0.003959
